x,y,label
1.3166089,5.391285,3
1.1938499,4.402794,9
-4.963838,-0.32522917,5
-3.5896564,-0.8237914,2
-5.221477,-0.8840885,5
-0.82825327,4.5413055,3
0.18433145,1.351215,7
-1.5840765,-2.9784627,3
-3.2091165,-1.1525873,3
-1.0671245,-6.157129,3
-0.37377962,2.8891535,6
-2.6714027,-1.2188503,8
-2.6287448,-1.6614296,4
2.9190762,-0.9339527,9
-2.1554227,-0.55693805,6
-3.459815,1.9290738,2
-3.7754602,-1.03498,3
-4.011712,5.7643414,5
-0.71298486,-2.8829453,4
8.148956,9.832257,1
-3.6646237,-1.0364966,5
-4.30801,-0.9099417,4
-2.1032836,2.352551,6
7.4759994,-4.4861903,8
4.0895123,-4.361538,0
5.991576,6.874216,9
-0.2140396,3.2265236,6
-0.0031676153,-0.34954005,4
-4.232211,-0.22604483,5
-6.8039517,0.46677762,5
10.176264,-0.43065703,8
0.60132724,-3.112989,0
7.8095803,0.48636392,1
-4.0224276,-0.35580787,2
1.0737486,4.210352,9
-3.9917488,1.7553095,5
2.038918,7.7329855,1
9.374638,-4.792299,0
0.18050982,2.3428478,1
10.741251,-5.8273997,0
-2.4583628,2.139942,7
-4.3857613,-0.03628648,2
5.6557703,7.81399,1
0.9709325,-4.2974486,0
-0.06172025,3.655201,6
12.731893,-6.889053,0
1.7280084,-0.9712344,8
-1.1099021,-1.177847,8
-1.2647202,1.5086608,8
-5.222951,-1.3886218,3
-4.456001,-0.045334987,4
-1.0343407,-3.516105,0
2.3008804,-7.487444,8
-3.553581,-1.2829278,2
-3.4428408,-0.08525198,4
-3.5091906,1.1084629,7
-1.3025172,-1.7008948,2
-2.8345673,0.19004248,3
-0.87289625,-2.135175,3
5.3938355,3.9243152,1
-4.1478167,-1.0369287,5
2.1737623,-5.3156066,2
1.781635,2.4501643,9
-2.7539403,0.39286584,6
7.8116817,6.7353363,1
-4.948479,4.796289,5
-2.2682204,1.480684,7
4.8759236,-8.7980585,0
8.202201,0.4440283,9
1.0534102,3.268091,9
3.3810942,-3.4750304,0
0.49808037,3.6934786,1
-0.5142929,-1.4140232,8
-0.53951627,2.1741517,6
4.21425,1.5334798,9
4.5220656,-6.3507032,8
6.1504145,-12.7930565,0
-3.8498926,-2.6573954,3
-1.1447974,-1.3341452,3
-3.3661768,1.496169,6
-2.8250906,-1.6302665,2
9.061488,0.43357766,1
-3.48306,0.83866996,2
-2.8020606,1.8190978,6
-3.208874,0.3888775,7
-3.8429763,-1.2743316,4
6.6111245,5.089669,9
-1.7939948,-2.6392643,6
-2.3180737,-3.1092694,3
-3.8478837,0.63087857,5
-0.46437782,-1.155599,2
-1.3655213,3.1962247,5
-3.027198,-1.7177546,4
0.06956324,-0.08070835,6
-3.6055303,-1.2536261,2
9.742323,5.208578,1
-1.3751261,0.24056621,6
-5.5690103,-4.599102,2
-2.8899553,-0.43955702,5
1.772258,0.031043747,9
-2.771522,-4.159408,2
10.602267,6.246131,1
8.995639,-4.6556363,8
-2.076249,0.031057784,4
3.4516985,-6.395181,0
12.855434,1.4979477,1
-2.8061635,-1.1348901,3
-3.1345158,0.026729608,4
-1.3891054,-2.6275787,2
-0.23478809,0.8596701,5
11.474964,-3.264729,8
2.0111222,0.3403414,9
1.119041,-0.009028232,7
10.542243,-2.5325708,8
-3.0717704,0.38809735,6
2.008934,-3.727044,8
-0.62734747,-4.301879,0
-1.3227792,0.61634445,2
-4.3335924,0.09929497,3
13.139464,10.081319,1
-1.8110173,-1.8336912,9
2.6328468,-4.207261,8
-2.7160578,1.0452486,4
1.2858286,2.5143328,9
-1.1893339,-0.11762182,3
7.9225636,12.619805,9
-3.152682,0.2772967,7
-5.3080683,1.2064753,2
-2.8944426,1.523302,7
8.094207,13.393934,9
3.9241576,11.189037,9
5.7465816,4.8777037,1
-0.40890342,1.6242378,6
2.8844435,-7.8348093,0
-3.5126534,0.6330154,4
7.3892207,6.3068185,0
-4.7603264,1.3054125,7
3.823347,-4.241879,0
-5.712517,-0.31969547,3
-6.0657706,2.8613503,7
2.2341745,-2.1490414,0
-2.9530232,-3.4086456,2
-0.66862273,-4.4011073,8
-3.0525942,0.2345113,3
9.257805,1.9640086,1
0.0658907,2.2924442,6
-5.0037546,-0.1636892,3
0.4928918,-3.5784872,0
6.2570004,-3.0418487,0
-2.4287515,1.2812907,3
-0.9830491,-0.90653306,7
-1.5298212,5.4638643,4
7.4859304,-10.271451,8
1.2489705,-4.366935,0
1.9219986,5.553005,9
-1.073717,-1.6765807,2
3.774492,4.960329,9
-3.5501416,-2.4641104,5
-3.9421027,-1.8657981,2
4.61009,16.398195,9
4.604705,-2.1515741,1
4.0286098,-7.8353057,0
-1.8911848,-1.3443353,2
-1.1323819,0.27609396,2
0.072336555,-2.435134,0
1.2931191,-7.0697865,0
4.8913918,-10.3075905,0
-0.17630227,1.8420544,7
3.9710183,7.3742466,1
4.22543,-3.9126928,8
1.5339965,2.1899486,9
0.20990336,4.9162025,3
4.3755975,1.7543421,7
-1.0782318,-0.26738107,3
-5.8135715,-0.36650458,5
5.029811,-6.3277574,0
-5.245318,-1.439945,3
6.352599,-2.7218888,1
5.184842,0.2351647,1
8.457949,2.712373,1
2.9734704,-6.6596065,8
3.5785627,-2.3574286,8
0.80747265,-0.16050026,7
-3.8761,-0.14430383,7
5.7456264,-6.606757,0
-2.8285646,0.07532502,6
-3.848466,-0.30262268,7
